8:55,N,0
9:45,N,0
10:30,N,0
10:45,N,0
11:15,N,0
11:40,N,1
12:00,N,0
12:05,N,0
12:15,N,0
12:20,N,0
12:35,N,0
12:45,N,1
13:05,S,0
13:20,S,0
13:35,S,0
13:45,S,0
13:55,S,0
14:00,S,0
14:10,S,0
14:20,S,0
14:25,S,0
14:30,S,0
14:35,S,0
14:40,S,0
14:45,S,0
14:50,S,0
14:55,S,0
15:00,S,0
15:10,N,1
15:30,S,0
15:45,S,0
14:55,S,0
16:00,S,0
16:05,S,0
16:10,S,0
16:15,S,0
16:20,S,0
16:25,S,0
16:30,S,0
16:35,S,0
16:40,S,0
16:50,N,0
17:00,S,0
17:10,S,0
17:20,S,0
17:30,S,0
17:40,S,0
17:50,S,0
17:55,S,0
18:00,S,0
18:05,S,0
18:10,S,0
18:15,S,0
18:20,S,0
18:25,S,0
18:30,S,0
18:40,S,0
18:50,N,1
19:00,S,0
19:10,S,0
19:20,S,0
19:30,S,0
19:35,S,0
19:40,S,0
19:45,S,0
19:50,S,0
19:55,S,0
20:00,S,0
20:05,S,0
20:10,S,0
20:15,S,0
20:20,S,0
20:25,S,0
20:30,N,1
20:45,S,0
21:00,S,0
21:20,S,0
21:40,S,0
